sample_id,seq_length,compare_count,move_count
1,3,2,1
2,3,3,0
3,3,3,1
4,3,3,1
5,3,2,1
6,3,3,1
7,3,3,1
8,3,3,1
9,3,3,0
10,3,2,2
11,4,4,1
12,4,6,2
13,4,4,2
14,4,4,3
15,4,6,2
16,4,5,2
17,4,6,1
18,4,6,1
19,4,4,2
20,4,5,3
21,5,8,3
22,5,6,3
23,5,10,2
24,5,8,2
25,5,6,4
26,5,6,2
27,5,6,4
28,5,9,4
29,5,6,5
30,5,9,3
31,6,12,2
32,6,11,4
33,6,14,1
34,6,12,3
35,6,8,5
36,6,13,2
37,6,9,5
38,6,8,5
39,6,11,4
40,6,9,3
41,7,13,3
42,7,11,6
43,7,14,5
44,7,12,6
45,7,12,3
46,7,13,3
47,7,12,4
48,7,15,6
49,7,11,2
50,7,12,5
51,8,16,10
52,8,18,7
53,8,14,8
54,8,18,5
55,8,18,6
56,8,14,6
57,8,16,10
58,8,23,5
59,8,16,6
60,8,17,8
61,9,18,6
62,9,23,8
63,9,19,6
64,9,23,7
65,9,20,14
66,9,24,8
67,9,29,5
68,9,23,7
69,9,24,5
70,9,18,10
71,10,21,10
72,10,27,10
73,10,21,11
74,10,23,9
75,10,33,6
76,10,22,5
77,10,23,17
78,10,30,6
79,10,22,11
80,10,24,18
81,11,23,8
82,11,27,13
83,11,26,11
84,11,27,16
85,11,31,10
86,11,25,12
87,11,25,11
88,11,26,10
89,11,28,10
90,11,28,11
91,12,36,15
92,12,33,13
93,12,28,13
94,12,32,13
95,12,29,12
96,12,33,10
97,12,30,10
98,12,38,11
99,12,48,10
100,12,38,12
101,13,36,14
102,13,38,15
103,13,37,19
104,13,40,19
105,13,37,18
106,13,30,16
107,13,30,16
108,13,45,18
109,13,30,17
110,13,29,17
111,14,41,18
112,14,39,12
113,14,38,15
114,14,41,10
115,14,35,11
116,14,34,13
117,14,36,16
118,14,37,12
119,14,40,13
120,14,35,17
121,15,36,16
122,15,49,13
123,15,45,14
124,15,42,23
125,15,45,16
126,15,53,15
127,15,47,19
128,15,50,24
129,15,43,16
130,15,50,23
131,16,47,16
132,16,44,21
133,16,47,24
134,16,56,28
135,16,49,13
136,16,57,25
137,16,49,26
138,16,48,26
139,16,59,25
140,16,44,15
141,17,55,22
142,17,49,30
143,17,59,15
144,17,54,19
145,17,43,24
146,17,56,38
147,17,53,20
148,17,54,18
149,17,74,17
150,17,55,32
151,18,64,20
152,18,55,26
153,18,55,30
154,18,57,21
155,18,64,19
156,18,61,30
157,18,73,30
158,18,59,21
159,18,70,20
160,18,67,19
161,19,57,27
162,19,62,30
163,19,67,27
164,19,65,31
165,19,69,25
166,19,76,26
167,19,58,28
168,19,64,27
169,19,56,22
170,19,71,19
171,20,60,31
172,20,81,33
173,20,73,25
174,20,63,33
175,20,79,30
176,20,82,26
177,20,76,37
178,20,86,43
179,20,64,27
180,20,65,25
181,21,73,24
182,21,73,27
183,21,74,29
184,21,74,32
185,21,66,29
186,21,66,30
187,21,73,29
188,21,76,28
189,21,62,28
190,21,74,24
191,22,85,37
192,22,78,39
193,22,109,28
194,22,75,32
195,22,97,25
196,22,93,43
197,22,76,26
198,22,77,28
199,22,69,33
200,22,89,44
201,23,90,46
202,23,93,56
203,23,98,26
204,23,81,32
205,23,72,35
206,23,96,29
207,23,74,35
208,23,79,33
209,23,92,35
210,23,81,26
211,24,90,34
212,24,79,31
213,24,85,28
214,24,126,27
215,24,100,38
216,24,114,39
217,24,111,38
218,24,109,33
219,24,75,42
220,24,75,31
221,25,98,29
222,25,106,40
223,25,103,37
224,25,108,37
225,25,100,42
226,25,94,40
227,25,104,42
228,25,90,38
229,25,112,29
230,25,101,58
231,26,100,48
232,26,90,37
233,26,88,43
234,26,99,59
235,26,92,39
236,26,138,57
237,26,87,46
238,26,86,49
239,26,107,41
240,26,97,51
241,27,152,25
242,27,101,55
243,27,103,40
244,27,98,34
245,27,111,35
246,27,112,43
247,27,94,49
248,27,102,32
249,27,112,40
250,27,96,44
251,28,117,47
252,28,113,32
253,28,113,43
254,28,102,36
255,28,118,46
256,28,108,61
257,28,97,48
258,28,118,34
259,28,121,33
260,28,114,43
261,29,124,48
262,29,105,58
263,29,152,60
264,29,129,41
265,29,122,53
266,29,120,57
267,29,131,30
268,29,118,71
269,29,114,48
270,29,131,36
271,30,130,67
272,30,108,55
273,30,133,86
274,30,130,55
275,30,122,44
276,30,162,44
277,30,132,61
278,30,157,44
279,30,137,36
280,30,137,46
281,31,120,51
282,31,134,62
283,31,122,60
284,31,119,50
285,31,135,36
286,31,130,46
287,31,111,61
288,31,134,58
289,31,135,66
290,31,128,52
291,32,164,50
292,32,156,63
293,32,121,58
294,32,122,56
295,32,164,63
296,32,145,69
297,32,140,40
298,32,128,62
299,32,119,70
300,32,150,58
301,33,165,54
302,33,145,63
303,33,151,69
304,33,133,58
305,33,133,61
306,33,173,73
307,33,145,67
308,33,135,52
309,33,148,55
310,33,125,52
311,34,135,70
312,34,186,77
313,34,155,43
314,34,166,71
315,34,150,54
316,34,152,72
317,34,140,68
318,34,183,59
319,34,156,55
320,34,150,68
321,35,138,58
322,35,140,51
323,35,174,45
324,35,172,66
325,35,150,77
326,35,165,85
327,35,178,89
328,35,190,70
329,35,150,70
330,35,164,61
331,36,152,56
332,36,171,79
333,36,197,79
334,36,175,76
335,36,165,80
336,36,166,64
337,36,217,83
338,36,155,55
339,36,136,62
340,36,154,79
341,37,151,65
342,37,169,67
343,37,194,63
344,37,198,78
345,37,158,66
346,37,154,56
347,37,162,67
348,37,181,54
349,37,156,60
350,37,142,63
351,38,156,79
352,38,178,99
353,38,162,61
354,38,150,73
355,38,153,77
356,38,213,100
357,38,185,80
358,38,194,79
359,38,205,101
360,38,175,62
361,39,161,71
362,39,178,64
363,39,168,84
364,39,167,90
365,39,164,94
366,39,161,57
367,39,188,90
368,39,180,66
369,39,203,77
370,39,187,73
371,40,212,98
372,40,178,63
373,40,218,74
374,40,177,84
375,40,243,143
376,40,188,63
377,40,208,73
378,40,217,76
379,40,186,84
380,40,212,86
